Requirement ID,Module,Feature,Description,Priority,API Coverage,FE Coverage,UI Coverage,Current Test Assets,Status,Notes
REQ-DASH-001,dashboard,Dashboard metrics visibility,Admin dashboard shows user store and QR metrics without fatal errors.,P0,run_api_regression.ps1 DASH-*,"FE dashboard component coverage referenced in TEST_LOGIC_PLAN.md",run_ui_e2e.ps1 ADMIN-E2E-002,"scripts/run_api_regression.ps1; scripts/run_ui_e2e.ps1; TEST_LOGIC_PLAN.md",Partial,FE and UI coverage is strong but API positive execution can still be role-blocked.
REQ-STORE-001,store,Store list and detail browse,User can open store list and store detail without server errors.,P0,"run_api_smoke.ps1 store endpoints; run_api_regression.ps1 STO-*","Backend logic or integration notes in TEST_LOGIC_PLAN.md",run_ui_smoke.ps1 store list/detail flows,"scripts/run_api_smoke.ps1; scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; TEST_LOGIC_PLAN.md",Covered,One of the strongest currently mapped areas.
REQ-STORE-002,store,Store verification approve/reject,Store verify list detail and approve/reject endpoints behave safely.,P0,"run_api_regression.ps1 store verify coverage; backend integration notes in TEST_LOGIC_PLAN.md",No direct FE verify-page automation mapped in this repo,No direct Playwright verify-store flow yet,"scripts/run_api_regression.ps1; TEST_LOGIC_PLAN.md; API_LIST.md",Partial,Verification endpoints exist and are tested technically but UI/admin execution is not direct.
REQ-STORE-003,store,Invalid store identifiers handled safely,Invalid store id uniqueId and collections paths must not return 500.,P0,"run_api_regression.ps1 STO-009 STO-011 STO-012",None,None,"scripts/run_api_regression.ps1; docs/API_REGRESSION_FINDINGS.md",Blocked,Confirmed backend bugs are still open.
REQ-STCATADM-001,store-category-admin,Store-category admin detail/children,Admin user can access store-category selection detail children and generate-code APIs.,P1,run_api_regression.ps1 STCATADM-*,No direct FE admin store-category automation mapped,No direct UI automation mapped,"scripts/run_api_regression.ps1; ROUTES.md; API_LIST.md",Blocked,Coverage exists at API level but execution is admin-role sensitive and UI is not automated yet.
REQ-SEA-001,searches,Search query suggestions and filters,User can query search receive suggestions and access filter or hot-keyword endpoints.,P0,"run_api_smoke.ps1 API-04..05; run_api_regression.ps1 SEA-*","Backend search-related logic noted in TEST_LOGIC_PLAN.md",run_ui_smoke.ps1 search flows,"scripts/run_api_smoke.ps1; scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; TEST_LOGIC_PLAN.md",Covered,Search is covered across API and UI smoke layers.
REQ-SEA-002,searches,Search history persistence,User can create read and delete search history safely.,P1,"run_api_smoke.ps1 API-06..08; run_api_regression.ps1 SEA-*","Backend integration notes in TEST_LOGIC_PLAN.md",UI smoke checks history only if exposed,"scripts/run_api_smoke.ps1; scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; TEST_LOGIC_PLAN.md",Covered,UI exposure is optional but API path is directly exercised.
REQ-LANGUAGE-001,language,Language selection and language master data,System supports language selection and language CRUD or selection endpoints.,P2,"Inventory only /language/* and /devices/update-language",No direct FE language automation mapped,Route inventory only /settings/language,"API_LIST.md; ROUTES.md; FEATURE_MAP.md",Not covered,Add after SRS import defines required language behavior.
REQ-FOLDER-001,folder,Folder CRUD and list/detail,Authorized user can create list detail update and remove folders.,P2,Inventory only /folder/*,None,None,"API_LIST.md; FEATURE_MAP.md",Not covered,Present in inventory but no direct automated asset exists yet.
REQ-STORAGES-001,storages,Storage file listing and upload/download,Storage services list files generate URLs upload and delete files.,P2,Inventory only /storages/*,None,None,"API_LIST.md; FEATURE_MAP.md; docs/API_REGRESSION_PLAN.md",Not covered,Future expansion module already noted in API regression plan.
